amfi_code,sharpe_ratio
100016,-0.3811196218913558
100025,-1.042659774053002
100033,0.83732955681781
101206,0.7461118056101598
101207,-0.04987477749019164
101208,-4.445598177312008
102885,0.5292196728604875
102886,-0.3713060948017941
102887,0.3627808616203117
118632,0.7957204456810368
118633,0.3768929476388584
118634,0.21214662165926187
118635,0.3872939005070307
118636,-0.8483378459383469
119092,-0.18214625633216178
119093,-0.09435103698445815
119094,0.7431041337504749
119095,-0.25728312926397395
119120,-0.7364436522690851
119551,0.9162026160335723
119552,0.6692534456691092
119598,0.6994946335842127
119599,-0.24114666373350335
120503,0.5201263333933701
120504,0.7437932101761636
120505,0.9267969671761075
120506,0.38776674646692244
120507,-3.3964911533755973
120841,0.23278406366817153
120842,-0.12709134941416342
120843,1.0346024972942982
120844,-3.774260487376176
125497,0.5045910907456251
125498,0.0752095997719019
148567,1.1610958552579638
148568,0.6540086719973177
148569,0.9743318774535653
149322,0.21077175754423044
149323,0.8704552569616605
149324,0.7038503585993021
