amfi_code,annualised_return
100016,0.01812064951462755
100025,0.03055034222790054
100033,0.19921655341786937
101206,0.15701133043947202
101207,0.05412082343718971
101208,0.044467523039841916
102885,0.12249303405305811
102886,0.008069711011326364
102887,0.11336323837814022
118632,0.16031198774659772
118633,0.10963342244556129
118634,0.11028686693972123
118635,0.10754542254469657
118636,0.036387702009530676
119092,0.04351309541168091
119093,0.05384315930079575
119094,0.1870521148627744
119095,0.010472845717320212
119120,0.040271590894740195
119551,0.1716143006643196
119552,0.14396354506290576
119598,0.21380371259617825
119599,0.014129931609609958
120503,0.12611234974973562
120504,0.1554390913284538
120505,0.21635659017888664
120506,0.11496519378615822
120507,0.04939128073454402
120841,0.09151266930745594
120842,0.04576968637773482
120843,0.20419887254007207
120844,0.04721447852372074
125497,0.12763242123654184
125498,0.07667267490155338
148567,0.20462186043324326
148568,0.15040227218523028
148569,0.21080437600362334
149322,0.09059091579789302
149323,0.19576760600828425
149324,0.21294290275179173
